20221029	21:13:01	086ee899-dfba-47bb-904c-0877fb095f27	/new-page.html	GET
20221029	21:13:01	1b185093-d9a9-4fb6-98c6-ec2a43140665	/css/style.css	GET
20221029	21:13:01	b14e5f24-0f6d-475b-96bd-8bb421123a80	/img/img.jpg	GET
20221029	21:13:01	b59a7d24-4972-4966-b9cf-903a32538171	/favicon.ico	GET
20221029	21:14:09	5bb86469-9130-4b2f-908d-d06cd718221e	/new-page.html	GET
20221029	21:14:35	a6d5bbf9-cf01-4c5d-990e-911dd06a69ba	/new-page.html	GET
20221029	21:14:35	13f92272-cf0b-48b5-966b-66c9aed70c53	/css/style.css	GET
20221029	21:14:35	ea54935a-61c6-4bf9-ba85-4e89dcbcedec	/img/img.jpg	GET
20221030	19:17:54	58c2857e-e6e6-4495-93f9-69c2752cb205	GET	undefined	/
20221030	19:17:54	fca108f4-faa5-4261-91cd-ac3d7e455865	GET	undefined	/css/style.css
20221030	19:21:49	320bb4a0-a9f7-4eb0-9338-4a76ed3d0ff5	GET	undefined	/
20221030	19:21:49	60d6640e-0431-4685-bcfe-53ba0ab0c4d3	GET	undefined	/css/style.css
20221030	19:30:52	24ee873a-f687-40e9-a76e-159a806fcb8b	GET	undefined	/
20221030	19:30:52	b71c1f8c-fdcc-4c3c-81b3-34c33ea7bde8	GET	undefined	/css/style.css
20221030	19:35:09	03420f12-e0c3-42dd-94ed-1f449f6b5780	GET	undefined	/
20221030	19:35:09	0a56858d-ce0b-4d69-8c14-fc9157fd17d7	GET	undefined	/css/style.css
20221030	20:12:52	b14782a5-d09e-4439-874b-50c3206f4491	GET	undefined	/
20221030	20:13:38	566c8635-0fce-487f-88de-07cc92c09a57	GET	undefined	/
20221030	20:13:38	5f320586-e07b-4dce-9b9d-8e7161468c90	GET	undefined	/css/style.css
20221030	20:25:56	8c522c13-cefe-4e59-99ba-4a2b64db6df6	GET	undefined	/
20221030	20:26:18	bc5cf22d-8e3a-4243-844b-365e28419bd3	GET	undefined	/
20221030	20:26:18	b5e66515-9ee6-4606-86eb-17c5897dd815	GET	undefined	/css/style.css
20221030	20:28:02	1e3b7fa4-8257-4c2a-aba9-adab404926cd	GET	undefined	/mike
20221030	20:28:02	2a32ba0b-3362-4d01-8937-54ae5deee871	GET	undefined	/css/style.css
20221030	20:30:47	6ae3fde3-fb5a-4b5d-88b6-afc6f68f0a8a	GET	undefined	/mike
20221030	20:30:47	5fa1e198-4872-4831-bd54-74516d464bd0	GET	undefined	/css/style.css
20221031	08:22:06	1689bb47-4d89-4792-843c-c85082ed0b78	GET	undefined	/
20221031	08:22:07	20bddac5-9624-41da-b4c9-51cbd140733e	GET	undefined	/css/style.css
20221031	08:22:07	254b7dcf-7ee9-4eaf-9076-512b6970b35c	GET	undefined	/favicon.ico
20221031	08:30:45	93e12205-3ee6-4a4d-ac70-2c2910e1d6a0	GET	undefined	/subdir
20221031	08:31:05	f144bd72-0c99-438b-b49c-41c636c20424	GET	undefined	/subdir/test.html
20221031	08:31:24	aac04238-94a5-4f0b-9685-4d1e428afb24	GET	undefined	/subdir/mike
20221031	08:31:24	7503dcfd-9dc9-4761-b1c4-2ec08533721c	GET	undefined	/subdir/css/style.css
20221031	08:31:48	be07aacf-6f44-4bda-b66c-94ff9cb7d296	GET	undefined	/mike
20221031	08:31:49	ea66825e-db81-43ea-b925-879d049f16cd	GET	undefined	/css/style.css
20221031	08:32:58	868d422e-b1d1-4bb4-b66b-f733d13e96bb	GET	undefined	/subdir
20221031	08:32:58	603078e4-273b-4f35-bb0e-4f5437c4ac85	GET	undefined	/subdir/
20221031	08:33:06	c74d5afd-42bb-4658-bda2-a6c0bddd0432	GET	undefined	/subdir/test.html
20221031	08:33:38	21d70f23-4900-427d-a758-a6680b442896	GET	undefined	/subdir/test.html
20221031	08:34:25	ea1f12ef-0775-4a34-a522-2b5bb5bd531c	GET	undefined	/subdir/mike.html
20221031	08:34:25	cc488f2d-7bd1-4582-bb99-611515c33311	GET	undefined	/subdir/css/style.css
20221031	08:41:54	1fe7f97e-c83b-4ad4-86d1-a5300e0ffa12	GET	undefined	/
20221031	08:41:54	583bc9a8-372e-4ba1-826f-da90d9301520	GET	undefined	/css/style.css
20221031	08:42:27	31a856da-b272-4f85-bd6e-27dd6b034f2d	GET	undefined	/new-page
20221031	08:42:27	334e5017-2b7c-44b7-91a5-1698bdb1abe1	GET	undefined	/css/style.css
20221031	08:42:27	fc9148ef-5978-4751-86fe-2667e258e4d8	GET	undefined	/img/img.jpg
20221031	08:43:37	97380bef-f0e0-4723-a29b-79df174cb545	GET	undefined	/old-page
20221031	08:43:37	ec49034a-d417-44d0-a9e6-4ea02802f1ca	GET	undefined	/new-page.html
20221031	08:43:37	ae05a595-bb77-4406-9190-e1572490009a	GET	undefined	/img/img.jpg
20221031	08:43:37	8559803f-fafa-4efe-85c0-b49fccae178b	GET	undefined	/css/style.css
20221031	08:43:44	87bd4145-76cc-4ff5-ae0f-098be745ce30	GET	undefined	/index
20221031	08:43:44	b515e07b-c590-410f-b3b9-3dad0efe2e9d	GET	undefined	/css/style.css
20221031	09:00:33	29f4d741-93b5-4185-bf06-2fdc05b77239	GET	undefined	/employees
20221031	09:02:40	b4abe477-05c3-4cf2-ab6b-63fb7bc7ef54	POST	undefined	/employees
20221031	09:03:04	dc0580c7-e41e-4f4a-8085-1f49adf602a9	POST	undefined	/employees
20221031	09:04:32	a33b8e96-6fac-43fb-aefa-1e8040d8f03c	PUT	undefined	/employees
20221031	09:05:11	e07fd1e4-dee5-4d44-9b28-8f9f368d08a4	DELETE	undefined	/employees
20221031	09:05:44	1c835632-6d46-47ba-8c1f-a272267e8c38	GET	undefined	/employees/1
20221031	10:26:58	8a5d076e-1c8b-446e-bdce-24f978f86c33	GET	undefined	/employees
20221031	10:27:55	9f25b7f2-2f20-45b8-aa29-968ff56110b1	POST	undefined	/employees
20221031	10:28:49	9f40f298-d936-448b-8568-f73a8fcc1c2c	PUT	undefined	/employees
20221031	10:29:27	3e5a6f0c-40ee-453b-9d28-e5e7c4eaaa9b	DELETE	undefined	/employees
20221031	10:29:53	bbddc17f-9962-43b6-b231-fa80b6423d7f	GET	undefined	/employees/1
20221031	10:30:02	061275f1-92dd-4e00-820b-9472b3de1306	GET	undefined	/employees/3
20221031	11:09:00	831a873f-2217-4fc0-8ce4-3ba95dc14f87	POST	undefined	/register
20221031	11:09:46	d0921bdf-6414-4ed7-ac43-318dab568540	POST	undefined	/register
20221031	11:21:07	744902d3-0cc1-41e5-8683-35c613c8e69e	POST	undefined	/auth
20221031	11:21:50	fdaff46b-bf9e-4b3a-aaa0-b8f886eded75	POST	undefined	/register
20221031	11:55:52	ea880537-7659-47de-a8fd-59c36b4d2c54	GET	undefined	/employees
20221031	11:56:56	6c2c2b92-19a4-4408-a722-cacc715e4b34	POST	undefined	/employees
20221031	11:57:11	3ac85496-93a1-47b3-84d5-3876f00adadb	GET	undefined	/employees
20221031	11:58:16	0f8aaf00-c531-4394-90cd-cc64c153ba09	POST	undefined	/auth
20221031	11:58:53	799f9846-544e-4b71-bbae-50cee2338df0	POST	undefined	/register
20221031	11:59:19	bc5d17d8-375e-4350-a323-7d2f76b01cea	POST	undefined	/auth
20221031	12:00:22	b9d9d3f2-c636-47a5-9942-9597b60e706d	GET	undefined	/employees
20221031	14:10:38	0a260834-44eb-46c3-b68b-7aebb90e7a01	GET	undefined	/
20221031	14:10:38	2c53b897-392f-4bd5-9802-e244e9096ea1	GET	undefined	/css/style.css
20221031	14:15:40	52dc8d11-e962-4071-aa1f-8a9938db8177	POST	undefined	/auth
20221031	14:15:59	0739ec6e-e8cf-4491-b454-3d1f02e61be9	GET	undefined	/employees
20221031	14:16:13	9a8d2b6c-a0af-4e8a-841c-c0c93ca43eb3	POST	undefined	/auth
20221031	14:16:24	0e511d46-d0b7-4fd6-a56f-e539b9cd9550	GET	undefined	/employees
20221031	14:17:44	fc46a036-9f5a-4c04-8e6c-4c94a01fcb59	POST	undefined	/auth
20221031	14:17:53	8db2a511-44cd-47c7-af79-4d5fb8515114	GET	undefined	/employees
20221031	14:18:02	adf2de41-7b0d-4545-b0eb-a8c7165b15b4	GET	undefined	/employees
20221031	14:27:17	4c6c8ecd-76a8-4852-ad4e-8065a5ffc734	POST	undefined	/auth
20221031	14:27:29	5625ce01-d6a5-4c83-8294-dc3572aa0169	GET	undefined	/employees
20221031	14:30:25	49327ae7-04ea-4d99-96f4-ecd2a72fa337	POST	undefined	/register
20221031	14:30:59	6633e122-018a-48e6-851d-5b2d47c98800	POST	undefined	/register
20221031	14:31:33	079d5139-4512-4f37-8177-a2dd2e082cac	POST	undefined	/register
20221031	14:31:45	60d685fe-8976-481b-ba07-8bbef3ac0132	POST	undefined	/auth
20221031	14:32:01	5618c3a2-c7bd-455d-b4a3-134614d383e3	GET	undefined	/employees
20221031	14:32:03	80b598f0-c430-4ee7-a5b3-b29e1ed0d85d	GET	undefined	/employees
20221031	14:32:04	08e6a1a5-fde1-48b7-b24c-b1a7e2755015	GET	undefined	/employees
20221031	14:32:04	bef6949a-650b-4733-b7eb-5d51246fbcab	GET	undefined	/employees
20221031	14:32:05	db6dc6a3-2aa2-4291-92b1-ff7b50c2e00d	GET	undefined	/employees
20221031	14:32:06	521a2ce7-0192-4c04-b2a7-2e7cd790fd86	GET	undefined	/employees
20221031	19:40:25	9d7abb42-55c5-40b8-b078-9802bedd2f81	POST	undefined	/auth
20221031	19:41:33	14d7929a-c68a-4e53-8dec-82a18a0eac50	GET	undefined	/refresh
20221031	19:43:33	2f345ef1-77ea-46f4-a5d5-08a058945dc4	GET	undefined	/employees
20221031	19:43:42	57c85534-078c-4be0-9746-b1f3009589c1	GET	undefined	/refresh
20221031	19:43:47	f127b88f-7e13-40b2-ba87-98a39dd91486	GET	undefined	/refresh
20221031	19:46:01	52042362-e6f0-4e42-9210-7ea3a6ed1e40	POST	undefined	/register
20221031	19:46:38	ce44cba4-c6b1-4222-89f1-4d2f301d3b5a	POST	undefined	/employees
20221031	19:46:53	83e677bf-10bb-46b2-92f7-4595846f9ae1	GET	undefined	/employees/1
20221031	19:47:04	3388583a-9fe8-4ab8-bf16-d1b002d8eb8f	POST	undefined	/auth
20221031	19:47:23	5a80afa4-45da-4eb1-a3b5-81a626d855fd	GET	undefined	/employees/1
20221102	21:51:44	568ee873-18f8-445d-b765-97da11f05ae7	POST	undefined	/auth
20221102	21:51:54	2e93f1b3-66ad-4f8f-88fd-8ec8c2378d4f	GET	undefined	/employees
20221102	21:53:34	285d2908-cc29-4366-a07e-65c2d1aad3bf	POST	undefined	/auth
20221102	21:53:44	f994dad0-d147-4334-a6dc-1629e9943c46	GET	undefined	/employees
20221102	21:53:51	4ce5e47e-67bc-4ed3-a16d-dabdc06168b3	GET	undefined	/employees
20221102	21:53:52	425da66f-096a-4b08-8e39-d861f04994e8	GET	undefined	/employees
20221102	21:53:53	72087874-2628-4e09-98f4-4783dd7fa349	GET	undefined	/employees
20221102	21:53:53	a9f60ed8-0e14-4ea0-b598-82e6aeacb52d	GET	undefined	/employees
20221102	21:53:53	691f10bf-460b-4841-9af0-293e9edef6fd	GET	undefined	/employees
20221102	21:53:54	18f58cfd-98d0-4111-a5f4-732321d4620c	GET	undefined	/employees
20221102	21:53:54	af98244e-4101-4f9f-96e1-8b82f37f1a20	GET	undefined	/employees
20221102	21:58:29	58120431-6aa2-4897-a22f-1b974ec69611	POST	undefined	/auth
20221102	21:58:39	e5d20e94-2100-413a-8337-04a9da0d8941	GET	undefined	/employees
20221102	21:59:43	0fb73b30-f896-4328-bd3d-50163d0feb40	POST	undefined	/auth
20221102	22:00:14	693d7443-5010-4118-9115-051f0d1fe175	POST	undefined	/employees
20221102	22:00:28	7341c091-8fb2-42cc-a6de-27ed80db1c76	POST	undefined	/auth
20221102	22:00:38	9f64c780-bb97-4c88-bd7b-dca61cb84932	POST	undefined	/employees
20221102	22:02:04	ea984b7e-0981-4ad3-b5d3-d9800dcdea3f	POST	undefined	/auth
20221102	22:02:12	c1ebfa80-ad48-4508-ba93-bff4026a22f9	DELETE	undefined	/employees
20221102	22:04:08	cc06a84e-168f-49b7-a34e-2d3426d62cb0	POST	undefined	/auth
20221102	22:04:15	2bc105ca-b241-4191-897d-5bac7745d6ae	POST	undefined	/employees
20221102	22:04:29	c7a0e5da-2583-4665-8eec-5ab6165ab00a	POST	undefined	/auth
20221102	22:04:37	22bbec49-9a2f-46ab-939d-607475bcf918	POST	undefined	/employees
20221105	11:14:34	0b0d1dc2-2263-4c4b-b221-2f9086530952	POST	undefined	/register
20221105	11:15:20	fea50336-4a03-4aae-aeea-d0d51acbf0af	POST	undefined	/register
20221105	11:18:49	eb122a5b-5c4b-4f61-b114-8be3c1881541	POST	undefined	/register
20221105	11:18:59	23a1a0ef-b0e1-4b8d-9515-efa13d35dbb1	POST	undefined	/register
20221105	11:24:42	6348cbe0-9017-473f-a745-8b052b0886d2	POST	undefined	/register
20221105	11:24:48	5733772b-2925-455d-b94a-79a6b4b8437b	POST	undefined	/register
20221105	11:28:55	3085cf6f-9033-4c38-a58b-c8afeada025d	POST	undefined	/register
20221105	11:29:02	84925e0c-9997-428f-a9ac-07020c4c7eef	POST	undefined	/register
20221105	11:50:11	81d4a982-9948-44ed-b8a1-12c195b5afc6	POST	undefined	/register
20221105	11:50:18	cef5813b-6f2e-4778-9bee-d2161eb8ee16	POST	undefined	/register
20221105	11:52:25	89f3987a-88fc-4b85-a0c3-d5dc690f84a7	POST	undefined	/register
20221105	11:54:05	575d578e-5841-4265-890f-3d72ece9d7bb	POST	undefined	/register
20221105	12:06:22	d96426eb-4c19-4357-ab89-6b5ea0d0e17f	POST	undefined	/register
20221105	12:06:42	c2f70b0b-f2e6-4162-aa38-631e36328850	POST	undefined	/register
20221105	12:07:11	d5d50ca6-6260-4779-8490-c7edfbf18a72	POST	undefined	/register
20221105	12:07:45	c208360a-b750-4d50-80b0-22e0d41ae4b3	POST	undefined	/register
20221105	12:11:33	b7aae0f5-7c26-41af-abcf-eeff1102f47b	POST	undefined	/auth
20221105	12:11:45	5012cf0a-a4b6-4ca3-9d9f-ee31945d0377	POST	undefined	/auth
20221105	12:11:49	bc4496ff-5497-49aa-bb70-9ee2d900c1a0	GET	undefined	/refresh
20221105	12:14:10	41c86995-45e0-4c86-8795-3c5df5df40d4	POST	undefined	/auth
20221105	12:14:45	8039401c-1810-424c-b069-27ff9cb30e9d	GET	undefined	/logout
20221105	12:15:38	f60d7e5c-2b10-40c0-867c-a2d63eb0aaaf	POST	undefined	/auth
20221105	12:16:40	2a81c5c6-5360-4878-81ee-3ebd8176ec2d	POST	undefined	/auth
20221105	12:17:08	2c881621-8fd7-4bbf-a13e-51b41023289f	POST	undefined	/auth
20221105	12:35:33	7bb01d56-8aa4-4e94-b33a-c28e1d1929c2	POST	undefined	/auth
20221105	12:36:13	ba947524-5f87-44f4-934c-7532b50276a5	POST	undefined	/auth
20221105	12:36:26	921f241d-0496-4095-a73c-ffaf45f7683e	POST	undefined	/register
20221105	12:37:17	f678bb51-2421-462a-8c1e-5ac769c27f69	POST	undefined	/register
20221105	12:38:05	a383d0b6-b035-4856-8b43-6dad3d36940b	POST	undefined	/auth
20221105	12:39:00	d31531b0-2972-479f-b359-3b1ca30f136d	POST	undefined	/register
20221105	12:42:30	cfb15fbc-d4c3-433b-bb7f-c11941132c4c	POST	undefined	/register
20221105	13:00:20	79b4a504-4608-4887-8f6c-dbf2a642efd7	POST	undefined	/register
